brand,model,top_speed_kmh,battery_capacity_kWh,number_of_cells,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,length_mm,width_mm,height_mm,car_body_type,source_url
Renault,Megane E-Tech EV60 220hp (TU2025),160,60.0,288.0,300.0,133,380,7.4,88.0,CCS,900.0,440.0,5,FWD,C - Medium,4200,1860,1505,Hatchback,https://ev-database.org/car/3132/Renault-Megane-E-Tech-EV60-220hp
Renault,Scenic E-Tech EV60 170hp,150,60.0,192.0,280.0,144,340,8.6,75.0,CCS,1100.0,545.0,5,FWD,JC - Medium,4470,1864,1571,SUV,https://ev-database.org/car/2068/Renault-Scenic-E-Tech-EV60-170hp
Renault,Scenic E-Tech EV87 220hp,170,87.0,288.0,300.0,143,480,7.9,95.0,CCS,1100.0,545.0,5,FWD,JC - Medium,4470,1864,1571,SUV,https://ev-database.org/car/2069/Renault-Scenic-E-Tech-EV87-220hp
Rolls-Royce,Spectre,250,102.0,216.0,900.0,192,465,4.5,126.0,CCS,1000.0,380.0,4,AWD,I - Luxury,5453,2080,1559,Coupe,https://ev-database.org/car/1765/Rolls-Royce-Spectre
Skoda,Elroq 50,160,52.0,192.0,310.0,149,310,9.0,90.0,CCS,1000.0,470.0,5,RWD,JC - Medium,4488,1884,1625,SUV,https://ev-database.org/car/3031/Skoda-Elroq-50
Skoda,Elroq 60,160,59.0,216.0,310.0,149,350,8.5,110.0,CCS,1000.0,470.0,5,RWD,JC - Medium,4488,1884,1625,SUV,https://ev-database.org/car/3032/Skoda-Elroq-60
Skoda,Elroq 85,180,77.0,288.0,545.0,145,450,6.6,120.0,CCS,1000.0,470.0,5,RWD,JC - Medium,4488,1884,1625,SUV,https://ev-database.org/car/3033/Skoda-Elroq-85
Skoda,Elroq RS,180,79.0,288.0,679.0,151,450,5.4,135.0,CCS,1200.0,470.0,5,AWD,JC - Medium,4488,1884,1608,SUV,https://ev-database.org/car/3183/Skoda-Elroq-RS
Skoda,Enyaq 60,160,59.0,216.0,310.0,145,360,8.1,110.0,CCS,1000.0,585.0,5,RWD,JC - Medium,4658,1879,1622,SUV,https://ev-database.org/car/3096/Skoda-Enyaq-60
Skoda,Enyaq 85,180,77.0,288.0,545.0,141,455,6.7,120.0,CCS,1000.0,585.0,5,RWD,JC - Medium,4658,1879,1622,SUV,https://ev-database.org/car/3097/Skoda-Enyaq-85
Skoda,Enyaq 85x,180,77.0,288.0,679.0,150,450,6.7,120.0,CCS,1200.0,585.0,5,AWD,JC - Medium,4658,1879,1620,SUV,https://ev-database.org/car/3098/Skoda-Enyaq-85x
Skoda,Enyaq Coupe 60,160,59.0,216.0,310.0,141,370,8.1,110.0,CCS,1000.0,570.0,5,RWD,JC - Medium,4658,1879,1623,SUV,https://ev-database.org/car/3099/Skoda-Enyaq-Coupe-60
Skoda,Enyaq Coupe 85,180,77.0,288.0,545.0,138,470,6.7,120.0,CCS,1000.0,570.0,5,RWD,JC - Medium,4658,1879,1623,SUV,https://ev-database.org/car/3100/Skoda-Enyaq-Coupe-85
Skoda,Enyaq Coupe 85x,180,77.0,288.0,679.0,146,460,6.7,120.0,CCS,1200.0,570.0,5,AWD,JC - Medium,4658,1879,1621,SUV,https://ev-database.org/car/3101/Skoda-Enyaq-Coupe-85x
Skoda,Enyaq Coupe RS,180,79.0,288.0,679.0,143,470,5.4,135.0,CCS,1200.0,570.0,5,AWD,JC - Medium,4660,1879,1608,SUV,https://ev-database.org/car/3185/Skoda-Enyaq-Coupe-RS
Skoda,Enyaq RS,180,79.0,288.0,679.0,147,460,5.4,135.0,CCS,1200.0,585.0,5,AWD,JC - Medium,4660,1879,1607,SUV,https://ev-database.org/car/3184/Skoda-Enyaq-RS
Skywell,BE11 Long Range,150,81.0,216.0,320.0,166,390,9.6,50.0,CCS,1000.0,467.0,5,FWD,JD - Large,4720,1908,1696,SUV,https://ev-database.org/car/3065/Skywell-BE11-Long-Range
Skywell,BE11 Standard Range,150,68.0,216.0,320.0,149,330,9.6,50.0,CCS,1000.0,467.0,5,FWD,JD - Large,4720,1908,1696,SUV,https://ev-database.org/car/3064/Skywell-BE11-Standard-Range
Smart,#1 Brabus,180,62.0,216.0,584.0,155,325,3.9,100.0,CCS,1600.0,313.0,5,AWD,JB - Compact,4300,1822,1636,SUV,https://ev-database.org/car/1748/Smart-1-Brabus
Smart,#1 Premium,180,62.0,216.0,343.0,141,335,6.7,100.0,CCS,1600.0,323.0,5,RWD,JB - Compact,4270,1822,1636,SUV,https://ev-database.org/car/2053/Smart-1-Premium
Smart,#1 Pro,180,47.0,216.0,343.0,152,250,6.7,65.0,CCS,0.0,323.0,5,RWD,JB - Compact,4270,1822,1636,SUV,https://ev-database.org/car/2041/Smart-1-Pro
Smart,#1 Pro+,180,62.0,216.0,343.0,148,335,6.7,100.0,CCS,1600.0,323.0,5,RWD,JB - Compact,4270,1822,1636,SUV,https://ev-database.org/car/1667/Smart-1-Proplus
Smart,#1 Pulse,180,62.0,216.0,584.0,155,325,4.5,100.0,CCS,1600.0,313.0,5,AWD,JB - Compact,4300,1822,1636,SUV,https://ev-database.org/car/1920/Smart-1-Pulse
Smart,#1 Pure,180,47.0,216.0,343.0,152,250,6.7,65.0,CCS,0.0,323.0,5,RWD,JB - Compact,4270,1822,1636,SUV,https://ev-database.org/car/2217/Smart-1-Pure
Smart,#1 Pure+,180,62.0,216.0,343.0,148,335,6.7,100.0,CCS,1600.0,323.0,5,RWD,JB - Compact,4270,1822,1636,SUV,https://ev-database.org/car/2218/Smart-1-Pureplus
Smart,#3 Brabus,180,62.0,216.0,543.0,149,335,3.7,100.0,CCS,1600.0,370.0,5,AWD,JB - Compact,4400,1844,1556,SUV,https://ev-database.org/car/2000/Smart-3-Brabus
Smart,#3 Premium,180,62.0,216.0,343.0,136,355,5.8,110.0,CCS,1600.0,370.0,5,RWD,JB - Compact,4400,1844,1556,SUV,https://ev-database.org/car/2054/Smart-3-Premium
Smart,#3 Pro,180,47.0,216.0,343.0,145,265,5.9,65.0,CCS,0.0,370.0,5,RWD,JB - Compact,4400,1844,1556,SUV,https://ev-database.org/car/2052/Smart-3-Pro
Smart,#3 Pro+,180,62.0,216.0,343.0,143,355,5.8,110.0,CCS,1600.0,370.0,5,RWD,JB - Compact,4400,1844,1556,SUV,https://ev-database.org/car/1999/Smart-3-Proplus
Smart,#5 Brabus,210,94.0,216.0,710.0,174,450,3.8,230.0,CCS,1600.0,630.0,5,AWD,JD - Large,4695,1920,1705,SUV,https://ev-database.org/car/3179/Smart-5-Brabus
Smart,#5 Premium,200,94.0,216.0,373.0,159,465,6.5,230.0,CCS,1600.0,630.0,5,RWD,JD - Large,4695,1920,1705,SUV,https://ev-database.org/car/3143/Smart-5-Premium
Smart,#5 Pro,200,74.4,216.0,373.0,160,370,6.9,110.0,CCS,1600.0,630.0,5,RWD,JD - Large,4695,1920,1705,SUV,https://ev-database.org/car/3141/Smart-5-Pro
Smart,#5 Pro+,200,94.0,216.0,373.0,159,465,6.5,230.0,CCS,1600.0,630.0,5,RWD,JD - Large,4695,1920,1705,SUV,https://ev-database.org/car/3142/Smart-5-Proplus
Smart,#5 Pulse,200,94.0,216.0,643.0,174,455,4.9,230.0,CCS,1600.0,630.0,5,AWD,JD - Large,4695,1920,1705,SUV,https://ev-database.org/car/3144/Smart-5-Pulse
Smart,#5 Summit Edition,200,94.0,216.0,643.0,174,455,4.9,230.0,CCS,1600.0,630.0,5,AWD,JD - Large,4695,1920,1705,SUV,https://ev-database.org/car/3145/Smart-5-Summit-Edition
Subaru,Solterra AWD,160,64.0,96.0,336.0,154,320,6.9,100.0,CCS,750.0,441.0,5,AWD,JC - Medium,4690,1860,1650,SUV,https://ev-database.org/car/1567/Subaru-Solterra-AWD
Tesla,Model 3 Long Range AWD (Highland),201,75.0,4416.0,493.0,119,525,4.4,124.0,CCS,1000.0,594.0,5,AWD,D - Large,4720,1849,1441,Sedan,https://ev-database.org/car/1992/Tesla-Model-3-Long-Range-AWD
Tesla,Model 3 Long Range RWD (Highland),201,75.0,4416.0,450.0,117,545,5.2,124.0,CCS,1000.0,594.0,5,RWD,D - Large,4720,1849,1441,Sedan,https://ev-database.org/car/3034/Tesla-Model-3-Long-Range-RWD
Tesla,Model 3 Performance (Highland),262,75.0,4416.0,741.0,142,490,3.2,124.0,CCS,0.0,594.0,5,AWD,D - Large,4720,1849,1431,Sedan,https://ev-database.org/car/2188/Tesla-Model-3-Performance
